Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
"Link: Eat, Love, Kill",-,"Kwon Yi-young, Kwon Do-hwan",Hong Jong-chan,"Yeo Jin-goo, Moon Ka-young","Fantasy, Melodrama, Romance",tvN,16,"June 6 –
July 26, 2022",2022,-,"Eun Gye-hoon (Yeo Jin-goo) and his twin sister can feel each other's feelings even if they are far apart; the siblings call this phenomenon 'link'. Gye-hoon, who has never felt a link since his sister's disappearance 18 years ago, suddenly starts to share a woman's (Moon Ka-young) feelings and experiences, all of her joy, sorrow, and pain."
Listen to Love,My Wife Is Having an Affair This Week,"Kim Hyo-sin, Lee Nam-gyu, Lee Ye-rim",Kim Seok-yoon,"Lee Sun-kyun, Song Ji-hyo, BoA, Lee Sang-yeob, Kim Hee-won, Ye Ji-won","Romance, Melodrama, Family",JTBC,12,"October 28 –
December 3, 2016",2016,-,"Do Hyun-woo (Lee Sun-kyun), a ten-year veteran producer, believes that his wife Jung Soo-yeon (Song Ji-hyo) is having an affair. They have been married for eight years in what he believed was a strong relationship, until he catches on to a sign that his wife is on the verge of cheating. This pushes him to talk with anonymous people on online social networks to figure out what to do and try to save his marriage."
Listen to My Heart (TV series),Do You Hear My Heart?,Moon Hee-jung,Kim Sang-ho,"Kim Jaewon, Hwang Jung-eum, Namkoong Min","Romance, Melodrama",MBC TV,30,"April 2 –
July 10, 2011",2011,-,"This is the love story of Cha Dong-joo (Kim Jaewon), a man who's been rendered deaf after an accident but pretends he can hear, and Bong Woo-ri (Hwang Jung-eum), a woman who's intelligent but pretends she's dim-witted to protect the dignity of her mentally disabled father. She has been looking for her step-brother, Bong Ma-roo, who ran away from home 16 years ago. What she soon finds out is that Jang Joon-ha (Namkoong Min), Cha Dong-joo's brother, is Bong Ma-roo himself."
Little Women (2022 TV series),-,Jeong Seo-kyeong,Kim Hee-won,"Kim Go-eun, Nam Ji-hyun, Park Ji-hu","Mystery, Family drama",tvN,12,"September 3 –
October 9, 2022",2022,-,"The series depicts the zeal of three poor sisters; In-joo, In-hye, and In-kyung for money, independence, and love. The supposedly dead friend of one of the sisters left her 70 billion won but the people behind it, Korea's richest family, will do anything to stop them."
Live (South Korean TV series),-,Noh Hee-kyung,Kim Kyu-tae,"Jung Yu-mi, Lee Kwang-soo, Bae Seong-woo, Bae Jong-ok","Drama, Police procedural",tvN,18,"March 10 –
May 6, 2018",2018,-,"Live tells the story of police officers - from the lowest field cadets and patrol officers, to their superiors including corporals, captains, and more - as they form the 'Live' team at the Hongil patrol division. Each officer has their own story, and each works hard in their own places at one of the busiest, most stressful jobs in the world, in order to earn a living."
Live On (TV series),-,Bang Yoo-jung,Kim Sang-woo,"Jung Da-bin, Hwang Min-hyun, Noh Jong-hyun, Yang Hye-ji, Yeonwoo, Choi Byung-chan","Coming-of-age, Drama, Teen",JTBC,8,"November 17, 2020 –
January 12, 2021","2020, 2021",-,"A story of love and friendship unfolds in a school where social media is a defining force and everybody is judged according to the person's looks, fashion sense and popularity."
Live Up to Your Name,"Live Up to Your Name, Dr. Heo",Kim Eun-hee,Hong Jong-chan,"Kim Nam-gil, Kim Ah-joong","Fantasy, Medical drama, Historical period drama, Romance comedy",tvN,16,"August 12 –
October 1, 2017",2017,-,"Heo Im (Kim Nam-gil) is a Joseon doctor of Traditional Korean medicine, specializing in acupuncture. He worked at a clinic for the poor during the daytime, and earned a fortune by making secret visits to nobles and high-ranking officials' houses at night. After gaining notoriety for his great skills, he was tasked to help treat the king's migraines. Unfortunately, his anxiety got the best of him and he was charged with treason. Unwilling to accept jail, he escaped capture, but was chased by soldiers. He was eventually cornered into a river and fatally shot by arrows, and fell to his supposed death."
Live Your Own Life,Hyo-shim's Independent Life,Jo Jeong-seon,Kim Hyeong-il,"Uee, Ha Jun, Go Joo-won","Family drama, Romance",KBS2,51,"September 16, 2023 –
March 17, 2024","2023, 2024",-,-
Liver or Die,-,Moon Young-nam,Jin Hyung-wook,"Yoo Jun-sang, Oh Ji-ho, Jeon Hye-bin, Lee Si-young, Cha Seo-won","Drama, Family",KBS2,40,"January 9 –
March 14, 2019",2019,-,"The story of Lee Poong-sang, a married middle-aged man, always has to take care of his siblings, as they never received love from their parents."
Living Among the Rich,Live in Cheongdam-dong,Park Hae-young,"Kim Seok-yoon, Lim Hyun-wook, Lee Sang-mi","Kim Hye-ja, Oh Ji-eun, Hyun Woo, Lee Sang-yeob, Lee Bo-hee",Sitcom,JTBC,170,"December 5, 2011 –
August 3, 2012","2011, 2012",-,"The story revolves around Kim Hye-ja (Kim Hye-ja) and her daughter Oh Ji-eun (Oh Ji-eun) after they move to the luxurious neighborhood of Cheongdam-dong, in Seoul, after living in the suburbs for years. Their new building turns out to be completely different from their expectations."
Living in Style,"Live in Style, I'll Live with Style",Moon Young-nam,Hong Chang-wook,"Ki Tae-young, Yoon Se-in","Family, Comedy",SBS TV,51,"17 September 2011 –
11 March 2012","2011, 2012",-,Three families struggle to overcome their problems and live in style.
Lobbyist (TV series),-,"Choi Wan-kyu, Joo Chan-ok","Lee Hyun-jik, Boo Sung-chul","Song Il-kook, Jang Jin-young, Han Jae-suk",-,Seoul Broadcasting System,24,"October 3 –
December 26, 2007",2007,-,"Lobbyist centers around a fictional love story caught in the real-world scenario of international politics, secret weapons trading, and deadly lobbying activities."
Local Hero (TV series),-,Kim Gwan-hoo,Kwak Jung-hwan,"Park Si-hoo, Jo Sung-ha, Lee Soo-hyuk, Kwon Yu-ri, Jung Man-sik, Yoon Tae-young","Action, Thriller, Mystery, Crime",OCN,16,"January 23 –
March 20, 2016",2016,-,"Former secret agent Baek Shi Yoon (Park Si-hoo) is a well-trained human weapon. Hiding his past, he buys the bar ""Neighborhood"" and runs it as the owner. He gets close to the Neighborhood regulars at his bar and sympathizes with their pain. He then meets a young man, Choi Chan Gyu (Lee Soo-hyuk), who works as a temporary employee. Choi Chan Gyu wants to become a police officer, so Baek Shi Yoon trains him as a secret agent and they fight together against evil."
Longing for You (TV series),-,Kwon Min-soo,"Han Chul-soo, Kim Yong-min","Na In-woo, Kim Ji-eun, Kwon Yul, Bae Jong-ok, Lee Kyu-han, Jung Sang-hoon","Mystery, Thriller",ENA,14,"July 26 –
September 7, 2023",2023,-,The series follows the story of a detective in the countryside who strives to get revenge on behalf of his younger brother.
Look Back in Anger (TV series),"Turn Your Angry Face, Youth in an Angry Face",Kim Young-chan,"Lee Min-hong, Lee Won-ik","Joo Jin-mo, Park Jin-hee, Lee Min-woo","Action, Drama",Korean Broadcasting System,18,"28 February –
18 April 2000",2000,-,"Look Back in Anger (Korean: 성난 얼굴로 돌아보라; RR: Seongnan eolgullo dorabora) is a 2000 South Korean television series about two brothers' love for two women that aired on KBS2. Starring Joo Jin-mo, Lee Min-woo, Park Jin-hee and Bae Doona, the cast also includes the following actors pre-stardom: Kim Myung-min, Uhm Tae-woong, Kim Min-hee and Lee Eun-ju."
Loss Time Life,Loss Time Life: The Last Chance,Lee In-hye,Lim Eun,"Song Yuvin, Kwon Mina","Melodrama, Fantasy","MBN
UMAX",2,"February 13 –
February 14, 2019",2019,-,"So-jin was Yoo-geon's childhood friend and first love. They meet again as she becomes one of his teachers in high school. After he suddenly dies, Yoo-geon is given a second chance in the form of thirty hours during which he finds the meaning of love."
Lost (South Korean TV series),"Disqualified as a Human, No Longer Human",Kim Ji-hye,"Hur Jin-ho, Park Hong-soo","Jeon Do-yeon, Ryu Jun-yeol, Park Byung-eun, Kim Hyo-jin",Melodrama,JTBC,16,"September 4 –
October 24, 2021",2021,-,"It tells the story of ordinary people who have worked hard all their lives to see the spotlight, but have to face the reality that ""nothing has happened"" while realizing they are now in the middle of the downhill road of life."
Love & Secret,-,Kim Kyung-hee,Park Man-young,"Shin So-yul, Kim Heung-soo","Romance, Corporate, Family, Melodrama",KBS2,102,"November 11, 2014 –
April 3, 2015","2014, 2015",-,"Han Ah-reum, the daughter of the Korean Vice-Minister for Culture, returns home with a child born out of wedlock, a fact that will shame her family and ruin the chances of her father becoming the Minister for Culture. Cheon Sung-woon, heir of the Winner fashion and clothing company, is being backed into an arranged marriage that he does not want. When the paths of the two cross and re-cross, initial hostility turns into love. However, the secret of Ah-reum's illegitimate daughter may become a barrier to true love."
Love (ft. Marriage and Divorce),-,Phoebe,"Yoo Jung-joon (S1–2), Lee Seung-hoon (S1–2), Oh Sang-won (S3), Choi Young-su (S3)","Sung Hoon, Lee Tae-gon, Park Joo-mi, Lee Ga-ryeong, Lee Min-young, Jeon Soo-kyeong, Jeon No-min, Moon Sung-ho, Kang Shin-hyo, Bu Bae, Gee Young-san, Song Ji-in, Lim Hye-young",Melodrama,TV Chosun,48,"January 23, 2021 –
May 1, 2022","2021, 2022",-,"The series tells the story of three married couples, each in their 30s, 40s and 50s."
Love Again (TV series),-,Kim Eun-hee,Hwang In-roi,"Kim Ji-soo, Ryu Jung-han, Choi Cheol-ho, Lee Ah-hyun","Drama, Romance",JTBC,16,"April 25 –
June 14, 2012",2012,-,"At the reunion of an astronomy club, friends meet again for the first time in 30 years. As they recall their golden days, they start having feelings for each other."
Love Alarm,-,"Lee Ah-yeon (season 1), Seo Bo-ra (season 1), Kim Sae-bom (season 1), Cha Yeon-soo (season 2), Kim Seo-hee (season 2), Kwon Ji-young (season 2)","Lee Na-jeong (season 1), Kim Jin-woo (season 2), Park Yoo-young (season 2)","Kim So-hyun, Jung Ga-ram, Song Kang",Romance drama,Netflix,14,"August 22, 2019 –
March 12, 2021","2019, 2021",-,"Love Alarm is the story of an app that allows users to discover love through an application which notifies users when someone within 10 meters has romantic feelings for them. Kim Jo-jo, a vibrant and enthusiastic highschooler gets caught into a love triangle between Hwang Sun-oh (a handsome model) and Lee Hye-yeong (a fun outgoing material artist)."
Love Alert,-,Kim Shin-hye,Jo Chang-wan,"Yoon Eun-hye, Chun Jung-myung",Romantic comedy,MBN,16,"October 31 –
December 20, 2018",2018,-,The series is about a celibate doctor named Cha Woo-hyun (Chun Jung-myung) who gets involved in a scandal with top actress Yoon Yoo-jung (Yoon Eun-hye) for inexplicable reasons. The two sign a contract where they have to pretend to be in love to achieve their mutual goals.
Love All Play (TV series),"493km for You, Going to You at a Speed of 493km",Heo Sung-hye,Jo Woong,"Park Ju-hyun, Chae Jong-hyeop, Park Ji-hyun, Kim Mu-jun, Seo Ji-hye","Drama, Romance, Sports drama",KBS2,16,"April 20 –
June 9, 2022",2022,-,The series is a sports romance drama about the passion and affectionate love between the male and female mixed-doubles protagonists within their group of badminton team members.
Love and Obsession (TV series),The Tale of Janghwa and Hongryeon,Yoon Young-mi,Lee Won-ik,"Yoon Hae-young, Kim Se-ah, Jang Hyun-sung",Melodrama,KBS2,150,"April 20 –
October 10, 2009",2009,-,"Love and Obsession (Korean: 장화홍련) is a South Korean television series that aired on KBS2 from October 20, 2009 to April 23, 2010."
Love Andante,-,Kim Yuna,Yoon Ryu-hae,"Kwon Hyun-bin, Song Ji-woo",Romantic comedy,Lifetime,8,"August 7 –
August 29, 2024",2024,-,"Love Andante (Korean: 사랑의 안단테) is a 2024 South Korean television series starring Kwon Hyun-bin and Song Ji-woo. It aired on Lifetime from August 7–29, 2024, every Wednesday and Thursday at 23:00 (KST). It is also available for streaming on TVING in South Korea, on Kocowa in Americas, Europe, and Oceania, and on KNTV in Japan."
Love Can't Wait (TV series),The Love That Will Not Be Stopped by Anyone,Jung Hyung-jung,"Lee Tae-gon, Kim Dae-jin","Hong Kyung-min, Lee Young-ah, Choi Jung-yoon, Choi Kyu-hwan",-,Munhwa Broadcasting Corporation,198,"January 1 –
July 2, 2006",2006,-,"Cheerful and flighty high school senior Seo Eun-min (Lee Young-ah) meets Tae-kyeong (Hong Kyung-min), an independent and responsible law student, when she goes to the university library to run an errand for her sister. She instantly falls in love and lies to him that she's a scriptwriter. They start dating, and Tae-kyeong falls in love with the charming Eun-min. However, Eun-min's lie does not last long when they meet again as private tutor and student. Since Eun-min hates studying more than anything, Tae-kyeong tells her that she should do something else with her life if she does not want to go to college, and drags her to the Haja Center. Knowing that he has faith in her and wants what's best for her, Eun-min impulsively decides to marry him. Proud that Tae-kyeong is the first thing that's hers alone, at first Eun-min treats their marriage as an accomplishment in itself and their poor circumstances as a game: she does not mind that their ₩10 million basement apartment is windowless, and has leaky ceilings and rats. But the hardships of poverty and newlywed life soon make her grow up fast."
Love for a Thousand More,"1,000th Year Dating, Thousand Years of Love","Kwak Kyung-yoon, Na Jae-won, Seo Ji-young","Kim Ki-yoon, Park Bong-sub","Kang Seung-yoon, Hwang Seung-eon","Web series, Romance, Fantasy",Naver TV Cast,10,"December 5 –
December 23, 2016",2016,-,"This is a story about a 1,000-year-old woman named Pyeon Mi-jo (Hwang Seung-eon), who became immortal after she met a certain unidentified man. She offers love counseling services to people based on her experiences over the past 1,000 years, until she finds true love with Yoo Jun-woo (Kang Seung-yoon), who is the leader of the hip-hop crew Krunk Soul."
Love for Loves Sake,-,Kwon Cho Rong,Kim Kyun Ah,"Tae Vin, Cha Joo Wan, Oh Min Su, Cha Woong-ki","Romantic drama, Fantasy television, Youth, Boys' Love","Netflix
iQIYI
TVING
Wavve",8,"4 July –
25 July 2025",2025,-,"Tae Myung Ha, a 29-year-old man, is unexpectedly transported into a fictional online game where he inhabits the body of a 19-year-old character. Within this virtual world, he is tasked with bringing happiness to Cha Yeo Woon, a talented athlete admired for his looks and achievements despite his modest background. As Myung Ha navigates this mission, he becomes entangled in a complex emotional dynamic involving Cha Yeo Woon, the wealthy and passionate Cheon Sang Won, and the introverted Ahn Kyung Hoon, who offers quiet support throughout the journey."
