title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
One Fine Day (South Korean TV series),-,"Although not related by blood, Seo Gun (Gong Yoo) and Seo Ha-neul (Sung Yu-ri) are legally siblings after the marriage of Gun's father and Ha-neul's mother. But after the deaths of their parents, the siblings are sent to an orphanage where they tearfully part once they get adopted into different families.",Munhwa Broadcasting Corporation,,"Romance, Melodrama",,,"May 31 –
July 20, 2006",,"Gong Yoo, Sung Yu-ri, Namkoong Min, Lee Yeon-hee",Son Eun-hye,Shin Hyun-chang,16,2006,-
One Mom and Three Dads,"Three Dads and One Mom, Three Dads With One Mommy, Three Dads and a Mother","Song Na-young and her husband, Jung Sung-min desperately want a child, but Sung-min is unable to get her pregnant. Na-young suddenly loses her husband in an accident, and afterwards gives birth to a daughter. What she does not know is that three of her husband's friends donated sperm to Sung-min so that she could conceive successfully. The father of Na-young's child could either be Han Soo-hyun, Choi Kwang-hee, or Na Hwang Kyung-tae.",KBS2,,"Romance, Comedy",,,"2 April –
22 May 2008",,"Eugene, Jo Hyun-jae, Jae Hee, Shin Sung-rok",Jo Myung-joo,"Lee Jae-sang, Kim Jung-gyu",16,2008,-
One More Happy Ending,-,"A romantic comedy about a once-popular first generation girl-group, whose members are in their 30s and are living very different lives, and the men they encounter as they fall in love once again.",MBC,,Romantic comedy,,,"20 January –
10 March 2016",,"Jang Na-ra, Jung Kyung-ho, Yoo In-na, Kwon Yul, Yoo Da-in, Seo In-young",Heo Sung-hee,Kwon Sung-Chan,16,2016,-
One More Time (South Korean TV series),I Want to Protect You ~One More Time~,"Yoo Tan is the leader and vocalist of an indie band called One More Time, which he started with his childhood friends. As the band’s popularity and revenue begins to dwindle, Tan decides to sign a contract with a music label. While adjusting to his new life, Tan gets swept up in a mysterious event – An unwanted time leap allows him to journey back in time to regain his girlfriend.",-,,"Teen, Romance, Music, Fantasy",,,"October 26 –
December 14, 2016",,"Kim Myung-soo, Yoon So-hee",-,-,8,2016,-
One Ordinary Day,That Night (former),"On a day no different from any other, a straight-A university student Kim Hyun-soo (Kim Soo-hyun) makes the mistake of his life. Just as any other college kid would, Hyun-soo is on his way to hang out with his friends. Late at night, he takes his father's taxi to head over to where his friends are. Hong Gook-hwa (Hwang Se-on), a sad-looking mysterious girl mistakes Hyun-soo's taxi for an on-duty cab and hops in. That was the beginning of everything. All the choices Hyun-soo made that night leads the normal university student to becoming the prime suspect in a violent murder case. While Hyun-soo shivers from fear and the fact that he is falsely accused, everyone still points to him as the only possible murderer. In this hopeless situation, those who stretch out a helping hand are a low-life attorney, Shin Joong-han (Cha Seung-won), and a criminal kingpin who rules the prison food chain, Do Ji-tae (Kim Sung-kyu). To prove his innocence in any way possible, Hyun-soo gives everything he has to fight against the police and the Korean prosecution.",Coupang Play,,"Crime, Thriller, Legal",,,"November 27 –
December 19, 2021",,"Kim Soo-hyun, Cha Seung-won, Kim Sung-kyu",Kwon Soon-kyu,Lee Myung-woo,8,2021,-
One Spring Night,-,"Lee Jeong-in (Han Ji-Min) is a librarian who has been in a relationship with a banker, Kwon Gi-seok (Kim Jun-han) for 4 years. Yoo Ji-ho (Jung Hae-in) is a pharmacist, and a single dad. He has graduated a year later than Kwon Gi-seok from the same university. Little do they realize after meeting each other, Ji-ho and Jeong-in will begin to see love and relationships in a whole new light.",MBC TV,,"Romance, Drama",,,"May 22 –
July 11, 2019",,"Han Ji-min, Jung Hae-in",Kim Eunsang,Ahn Pan-seok,32,2019,-
One Sunny Day,A Good Day,"Kim Ji-ho (So Ji-sub) is a broken hearted man who winds up in Jeju Island for a work project but he keeps running into a girl (Kim Ji-won). Both of them get robbed and have to sleep in the same guest house. They depend on each other for a day as his wallet and her phone got stolen. As they stay in Jeju Island, she heals his broken heart and they fall in love.",Line TV,,Romance,,,"December 19, 2014 –
January 10, 2015",,"So Ji-sub, Kim Ji-won",-,Kwon Hyuk-chan,10,"2014, 2015",-
One the Woman,-,"The life of Jo Yeon-joo (Honey Lee), a prosecutor with tough personality, changes completely after waking up from a coma and discovering that she suffers from amnesia caused by a car accident. She is mistaken for Kang Mi-na, a cold woman who looks just like her. Mi-na is the youngest daughter of Yumin Group and the second daughter-in-law of the Han family, owners of Hanju Group. Due to Kang Mi-na's illegitimate status, both her and her husband's family mistreat her. However, when Yeon-joo lives as Mi-na in the Han's household, she fights back against the family's mistreatment of her.",SBS TV,,"Romantic comedy, Drama, Action, Mystery, Thriller, Suspense, Crime, Law",,,"September 17 –
November 6, 2021",,"Lee Hanee, Lee Sang-yoon, Jin Seo-yeon, Lee Won-geun",Kim Yoon,Choi Hyeong-hun,16,2021,-
One Warm Word,"A Word from Warm Heart, A Single Warm Word, One Sweet Word, Kind Words, Good Word","The drama explores the reality and complexities of married life. Eun-jin and Jae-hak, who are married to other people, find themselves attracted to each other. Their marriages become in danger of unraveling, as their affair disrupts the lives of family and friends around them.",SBS,,"Romance, Melodrama",,,"2 December 2013 –
24 February 2014",,"Han Hye-jin, Ji Jin-hee, Kim Ji-soo, Lee Sang-woo",Ha Myung-hee,Choi Young-hoon,20,"2013, 2014",-
One Well-Raised Daughter,"A Well Grown Daughter, Well Brought-up Daughter, Ha-na, Good Daughter, Hana","The Jang family owns the Hwangso Soy Sauce Factory, which has been making soy sauce for two centuries. When the patriarch's son dies in a train crash, Jang Ha-na, the family's fourth daughter, is chosen to be its next successor. However, because of the tradition of passing the ownership of the company only to a male heir, Ha-na is raised as a boy and must disguise herself as the family son called ""Jang Eun-sung"" in order to inherit and prevent the factory from being taken over by her mother's scheming rival and her two children as well as a rival competitor.",Seoul Broadcasting System,,"Romance, Family, Melodrama",,,"December 2, 2013 –
May 30, 2014",,"Park Han-byul, Lee Tae-gon, Jung Eun-woo, Yoon Se-in",Yoon Young-mi,Jo Young-kwang,122,"2013, 2014",-
One: High School Heroes,-,"A school action drama that tells the tale of a model student who once focused solely on his studies but becomes involved in bullying at school and domestic abuse, forcing him to make a life-changing choice. A group known as ""High School Heroes"" is made up of the major characters who defend the victims of school violence.",Wavve,,"Action, Coming-of-age",,,"May 30 –
June 13, 2025",,"Lee Jung-ha, Kim Do-wan",Kim Young-eun,Lee Seong-tae,8,2025,-
Only Because It's You,"I Like You, You're My Favorite","The series follows three women who reunite for the first time after leaving high school eighteen years earlier. Now in their 30s, the women find themselves facing difficult challenges in their personal and romantic lives.",Seoul Broadcasting System,,"Romance, Melodrama, Family",,,"3 September 2012 –
15 February 2013",,"Yoon Hae-young, Yoon Ji-min, Lee Jae-hwang, Park Hyuk-kwon",Lee Hye-sun,Shin Kyung-soo,117,"2012, 2013",-
Only Love (TV series),"I Just Want to Love, I Only Want to Love",Kim Tae-yang is a physician and Choi Yoo-ri is a broadcasting producer. Choi Jae-min is a dandy-ish executive at a clothing company and Kim Saet-byul is an unwed mother. Kim Woo-joo is much younger than Hong Mi-rae.,Seoul Broadcasting System,,"Romance, Family, Melodrama, Revenge",,,"2 June –
12 December 2014",,"Seo Ha-joon, Im Se-mi, Lee Kyu-han, Nam Bo-ra, Yoon Jong-hoon, Kim Ye-won",Choi Yoon-jeong,Ahn Gil-ho,123,2014,-
Only You (2005 TV series),-,"Eun-jae (Han Chae-young) is a very stubborn and proud 20-year-old girl who has a passion for cooking. Because she does not have an interest in studying, she runs away to Vicenza in Italy before she graduates from high school to enroll in a cooking school. Her high school friend, who loves her dearly and shares her passion for cooking, comes along with her.",SBS,,"Romantic comedy, Drama",,,"4 June –
24 July 2005",,"Han Chae-young, Jo Hyun-jae, Lee Chun-hee, Hong Soo-hyun",Hwang Sung-yeon,Choi Mun-seok,16,2005,-
Operation Proposal,-,"Kang Baek-ho and Ham Yi-seul have been best friends since elementary school. Baek-ho has never acknowledged his attraction to her, unaware that Yi-seul has been in love with him for more than 20 years. Finally, at the wedding ceremony where Yi-seul is about to marry another man (Jin-won), Baek-ho regrets that he never confessed his love for the bride. A mysterious conductor suddenly appears and offers him a second chance to win Yi-seul's heart. Baek-ho travels back in time to various events of their lives hoping to change the outcome of their relationship. But changing the future is not as easy as it seems.",TV Chosun,,"Romance, Fantasy",,,"8 February –
29 March 2012",,"Yoo Seung-ho, Park Eun-bin",Yoon Ji-ryun,Kim Woo-sun,16,2012,-
Orange Marmalade (TV series),-,"Set in a fantasy world where humans and vampires coexist, the latter have evolved and no longer rely on human blood as food. Still, they are feared and discriminated against by society, causing many of them to hide their true nature and live as ""normal"" citizens, or else become outcasts.",Korean Broadcasting System,,"Romance, Fantasy, Teen",,,"May 15 –
July 24, 2015",,"Yeo Jin-goo, Kim Seol-hyun, Lee Jong-hyun, Gil Eun-hye",Moon So-san,"Lee Hyung-min, Choi Sung-bum",12,2015,-
Our Beloved Summer,-,"A coming-of-age romantic comedy that revolves around Choi Ung (Choi Woo-shik) and Kook Yeon-soo (Kim Da-mi), ex-lovers who broke up with a promise to never meet again. As luck would have it, the documentary they filmed ten years ago in high school went viral and they are forced to face the cameras together again by their producer friend. The series depicts their complicated feelings and growth.",SBS TV,,"Romantic comedy, Coming-of-age",,,"December 6, 2021 –
January 25, 2022",,"Choi Woo-shik, Kim Da-mi, Kim Sung-cheol, Roh Jeong-eui",Lee Na-eun,Kim Yoon-jin,16,"2021, 2022",-
Our Blooming Youth,-,"Crown Prince Lee Hwan, already under suspicion in the poisoning death of his older brother, receives a mysterious prophecy concerning his own death. He crosses paths with noblewoman Min Jae-yi, who is on the run after being framed for the murder of her family. They agree to help each other.",tvN,,"Period drama, Romance, Mystery",,,"February 6 –
April 11, 2023",,"Park Hyung-sik, Jeon So-nee, Pyo Ye-jin, Yoon Jong-seok, Lee Tae-sun",Jung Hyeon-jeong,Lee Jong-jae,20,2023,-
Our Blues,-,-,tvN,,Melodrama,,,"April 9 –
June 12, 2022",,"Lee Byung-hun, Shin Min-a, Cha Seung-won, Lee Jung-eun, Uhm Jung-hwa, Han Ji-min, Kim Woo-bin",Noh Hee-kyung,Kim Kyu-tae,20,2022,-
Our Chocolate Moments,-,"The drama is about three people, Joo Seul-gi, Kim Hyun-nam, and Jeon Soon-tae, who work at a chocolate company, making Valentine's Day chocolates together with Mr. Hong, the owner of a watch shop.",SBS TV,,Human,,,"February 11 –
February 12, 2025",,"So Joo-yeon, Choi Won-young, Gong Seong-ha, Song Ji-ho",Jo Hee-sook,Jung Ji-young,2,2025,-
Our Dating Sim (TV series),-,"Lee Wan (Lee Jong-hyuk) and Shin Ki-tae (Lee Seung-gyu) were friends in school. Just before graduation, Wan's family was about to move to Daejeon when Ki-tae texted him to invite him for a drink with his friends and bring his camera along. Wan went to school at the last minute, confessed his feelings to Ki-tae, and kissed him. Feeling embarrassed, Wan ran away, hid in the stockroom, threw his camera, and left without saying goodbye. He also stopped communicating with Ki-tae. However, Ki-tae found the camera and has longed to find Wan ever since.","Naver Series On
Heavenly
Rakuten TV
Viki
GagaOOLala",,"BL, Romance",,,"March 9 –
March 30, 2023",,"Lee Jong-hyuk, Lee Seung-gyu",Lee Yoon-seul,Lim Hyun-hee,8,2023,-
Our Gap-soon,Perfect Bride,"Our Gap-soon (Korean: 우리 갑순이; RR: Uri Gapsuni) is a 2016–2017 South Korean television series starring Kim So-eun and Song Jae-rim. This is the first time that a virtual couple from MBC's We Got Married co-stars as main cast in a serial drama on a national Korean television network. It aired on SBS every Saturdays to Sundays at 20:45 (KST) from August 27 to October 30, 2016, and then 2 episodes every Saturday from November 5, 2016 to April 8, 2017. This change generated a rating increase that led to an 11-episode extension, making the series end with 61 episodes.",SBS,,"Romantic, Comedy",,,"August 27, 2016 –
April 8, 2017",,"Kim So-eun, Song Jae-rim",Moon Young-nam,Boo Sung-cheol,61,"2016, 2017",-
Our Golden Days,-,-,KBS2,,"Family drama, Melodrama, Romance",,,"August 9, 2025 –
present",,"Jung Il-woo, Jung In-sun, Chun Ho-jin, Lee Tae-ran",So Hyun-kyung,Kim Hyung-seok,22,2025,-
Our Movie,-,"The series is about a film director and an aspiring actress who are both dealing with personal health issues, feel their time is running out, and attempt to heal their wounds. As the two work together filming, they start to fall in love with each other.",SBS TV,,Melodrama,,,"June 13 –
July 19, 2025",,"Namkoong Min, Jeon Yeo-been, Lee Seol, Seo Hyun-woo","Han Ga-eun, Kang Kyung-min",Lee Jung-heum,12,2025,-
Our Unwritten Seoul,-,"Yoo Mi-ji and Yoo Mi-rae are identical twins of opposite personalities and lifestyles. Mi-ji was a promising sprinter, but she has now quit sports due to an injury and is living a free-spirited life in her hometown of Duson-ri, taking care of her grandmother without a plan for her future. Mi-rae has always been a model student and is a perfectionist working at a public corporation in Seoul. When Mi-ji finds out that her sister is struggling with workplace bullying, she suggests that they swap places for a few months.","tvN
Netflix",,"Coming-of-age, Romance",,,"May 24 –
June 29, 2025",,"Park Bo-young, Park Jin-young, Ryu Kyung-soo",Lee Kang,Park Shin-woo,12,2025,-
Over the Rainbow (2006 TV series),-,"Over the Rainbow is about three people who love to dance. Jeong Hee-su ran away from her father in New Zealand and tried to make a go as a singer in Seoul. She ended up renting a room in Kwon Hyeok-ju's home and helped him realized his talent in dancing. Her main goal was to become famous and for that she turned to the famous singer Rex and dumped her boyfriend Hyeok-ju. Rex didn't mind being used and helped her along even though Hee-su wasn't that talented. Then there was this oddball, Sang-mi, who was a huge fan of Rex. She was poor but full of passion for doing the things she loved. At first, she was despised by everyone but bit by bit she won people over. Hyeok-ju began to develop feelings for her. Things went crazy when Rex started to fall for Sang-mi.",Munhwa Broadcasting Corporation,,"Drama, Music, Romance",,,"July 26 –
September 14, 2006",,"Ji Hyun-woo, Seo Ji-hye, Hwanhee, Kim Ok-vin","Hong Jin-ah, Hong Ah-ram",Han Hee,16,2006,-
